accept_stat__,stepsize__,int_time__,energy__,lp__
1,2.17949,21.7949,3.9574,-3.44565
0.950717,2.47463,24.7463,3.81008,-3.43932
0.630341,2.14183,21.4183,4.24771,-4.17644
1,2.53485,25.3485,3.28171,-2.9829
0.765697,2.46038,24.6038,3.17058,-3.15296
1,2.91062,29.1062,3.015,-2.37014
1,3.44222,34.4222,2.11912,-1.7705
0.739911,3.26866,32.6866,2.21017,-2.04849
1,3.86412,38.6412,2.47875,-1.64583
0.759456,3.73008,37.3008,2.26859,-1.54514
0.476404,2.8385,28.385,3.3624,-2.72425
1,3.35453,33.5453,1.61761,-1.59149
1,3.96322,39.6322,1.24853,-1.21599
1,4.68099,46.8099,1.42524,-1.20434
0.855132,4.89558,48.9558,1.66654,-1.43958
0.0109353,2.52596,25.2596,6.27526,-5.89472
1,2.98331,29.8331,3.6137,-1.51157
1,3.52244,35.2244,2.68266,-2.48324
1,4.15781,41.5781,3.6791,-1.19912
0.00160327,2.13389,21.3389,11.047,-9.63306
1,2.51917,25.1917,4.07622,-2.49236
0.788183,2.49251,24.9251,3.01002,-1.93316
0.894186,2.6935,26.935,3.21457,-2.91463
0.915496,2.96231,29.6231,4.28683,-2.42439
1,3.49418,34.9418,4.24412,-2.88259
0.424353,2.55584,25.5584,5.09383,-4.38625
0.509551,2.00736,20.0736,4.82364,-4.31274
1,2.36756,23.6756,2.43204,-2.05863
0.991614,2.77231,27.7231,4.10308,-2.41848
