"","cor","platform","seed","delta.target","metric","eps.final","Npar","time.warmup","time.total","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","efficiency","model"
"64",1,"admb.rwm",1,0.8,"diag",NA,8,NA,0.300000000000011,200.250330213303,296.690988071076,1000,206.453543850898,0.999101907681301,1.00903356989842,1.00046828286369,667.501100710984,"mvnd"
"65",1,"stan",2,0.8,"diag",0.731710703788301,8,0.038,0.081,546.169621620938,1000,1000,524.916875584042,0.998999705897413,1.00377886643382,0.999813319792413,6742.8348348264,"mvnd"
"66",1,"tmb",2,0.8,"diag",0.841355820919271,8,1.06775093078613,2.23556184768677,415.233737539543,1000,1000,403.931917318295,0.998999540394851,0.999860745079981,0.999259773670992,185.74021468885,"mvnd"
"67",1,"admb",2,0.8,"diag",0.876832,8,NA,0.439999999999998,395.100260403837,499.279376409013,1000,381.39348965479,0.999171280291599,1.00774195439009,1.00035305808029,897.955137281453,"mvnd"
"68",1,"admb.rwm",2,0.8,"diag",NA,8,NA,0.29000000000002,295.415373221761,331.018924994395,1000,300.649365150858,0.99901754948653,1.00464364771269,1.00115157461482,1018.67370076462,"mvnd"
"69",1,"stan",3,0.8,"diag",0.835202606131198,8,0.036,0.079,481.966324859987,1000,1000,499.017944559428,0.999004100369602,1.000943026211,0.999053085030016,6100.83955518971,"mvnd"
"70",1,"tmb",3,0.8,"diag",0.852954024808573,8,1.05170392990112,2.03936100006104,365.952144021342,1000,1000,354.174473129778,0.999027927335897,1.00125447586054,0.999469531905557,179.444514242643,"mvnd"
"71",1,"admb",3,0.8,"diag",0.862292,8,NA,0.389999999999986,423.207547497142,579.125752015708,1000,408.042156776724,0.999000109673262,1.00957394667414,0.999898173037162,1085.14755768502,"mvnd"
"72",1,"admb.rwm",3,0.8,"diag",NA,8,NA,0.280000000000001,245.159584132364,315.633854957015,1000,267.74091589027,0.998999504124422,1.00206227486907,0.999889064779564,875.569943329869,"mvnd"
"73",0,"stan",1,0.8,"diag",0.742420448908593,16,0.108,0.166,429.668899277117,1000,1000,427.312669614789,0.998999517142213,0.999881610223913,0.999167087809564,2588.36686311516,"mvnd"
"74",0,"tmb",1,0.8,"diag",0.800078883898539,16,1.34489393234253,2.55570006370544,260.095761394281,1000,1000,317.215710044726,0.999005046357006,1.00085962273153,0.999356978054525,101.770847482461,"mvnd"
"75",0,"admb",1,0.8,"diag",0.82506,16,NA,0.580000000000013,339.72529748283,806.722253555062,1000,341.021344893825,0.998999653019247,1.00863980938371,0.999387966868975,585.733271522108,"mvnd"
"76",0,"admb.rwm",1,0.8,"diag",NA,16,NA,0.54000000000002,168.328003210674,189.183733446722,1000,163.54047933606,0.999192333597338,1.0136313653295,1.00186775877167,311.7185244642,"mvnd"
"77",0,"stan",2,0.8,"diag",0.7439907433122,16,0.106,0.161,309.659255467567,1000,1000,314.099320918339,0.999000620877023,1.00404025232667,0.99936781154682,1923.34941284203,"mvnd"
